id,description,calories,protein_grams_per_hundred,carbs_grams_per_hundred,fat_grams_per_hundred
21416150,"Corned beef, canned, ready-to-eat",250,27.1,0,14.93
21417100,"Beef brisket, cooked, NS as to fat eaten",216,29.5,0,10
21417110,"Beef brisket, cooked, lean and fat eaten",289,26.57,0,19.36
21417120,"Beef brisket, cooked, lean only eaten",216,29.5,0,10
21420100,"Beef, sandwich steak, flaked, formed, thinly sliced",329,18.41,0,27.81
21500000,"Ground beef, raw",247,17.44,0,19.07
21500100,"Ground beef, cooked",260,25.54,0,16.82
21500310,"Ground beef patty, cooked",272,25.45,0,18.18
21601000,"Beef, bacon, cooked",449,31.3,1.4,34.4
21601010,"Beef, bacon, reduced sodium, cooked",541,37.04,1.43,41.78
21602000,"Beef, dried, chipped, uncooked",153,31.1,2.76,1.94
21602010,"Beef, dried, chipped, cooked in fat",225,28.12,2.5,11.32
21602100,Beef jerky,410,33.2,11,25.6
21701000,"Beef, baby food, NS as to strained or junior",81,12.03,2.43,2.52
21701010,"Beef, baby food, strained",81,12.03,2.43,2.52
21701020,"Beef, baby food, junior",81,12.03,2.43,2.52
22000100,"Pork, NS as to cut, cooked, NS as to fat eaten",211,27.69,0,10.5
22000110,"Pork, NS as to cut, cooked, lean and fat eaten",211,27.69,0,10.5
22000120,"Pork, NS as to cut, cooked, lean only eaten",164,29.13,0.09,4.55
22000200,"Pork, NS as to cut, fried, NS as to fat eaten",211,27.69,0,10.5
22000210,"Pork, NS as to cut, fried, lean and fat eaten",211,27.69,0,10.5
22000220,"Pork, NS as to cut, fried, lean only eaten",164,29.13,0.09,4.55
22000300,"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten",271,25,16.26,11.21
22000310,"Pork, NS as to cut, breaded or floured, fried, lean and fat eaten",305,23.97,16.2,15.44
22000320,"Pork, NS as to cut, breaded or floured, fried, lean only eaten",271,25,16.26,11.21
22001000,"Pork, pickled, NS as to cut",140,11.63,0.01,10.02
22002000,"Pork, ground or patty, cooked",295,25.48,0,20.6
22002100,"Pork, ground or patty, breaded, cooked",333,20.3,10.53,22.72
22002800,Pork jerky,410,33.2,11,25.6
22101000,"Pork chop, NS as to cooking method, NS as to fat eaten",211,27.69,0,10.5
22101010,"Pork chop, NS as to cooking method, lean and fat eaten",211,27.69,0,10.5
22101020,"Pork chop, NS as to cooking method, lean only eaten",164,29.13,0.09,4.55
22101100,"Pork chop, broiled or baked, NS as to fat eaten",211,27.69,0,10.5
22101110,"Pork chop, broiled or baked, lean and fat eaten",211,27.69,0,10.5
22101120,"Pork chop, broiled or baked, lean only eaten",164,29.13,0.09,4.55
22101130,"Pork chop, breaded or floured, broiled or baked, NS as to fat eaten",240,26.78,8.82,10.19
22101140,"Pork chop, breaded or floured, broiled or baked, lean and fat eaten",240,26.78,8.82,10.19
22101150,"Pork chop, breaded or floured, broiled or baked, lean only eaten",197,28.09,8.9,4.78
22101200,"Pork chop, fried, NS as to fat eaten",211,27.69,0,10.5
22101210,"Pork chop, fried, lean and fat eaten",211,27.69,0,10.5
22101220,"Pork chop, fried, lean only eaten",164,29.13,0.09,4.55
22101300,"Pork chop, breaded or floured, fried, NS as to fat eaten",305,23.97,16.2,15.44
22101310,"Pork chop, breaded or floured, fried, lean and fat eaten",305,23.97,16.2,15.44
22101320,"Pork chop, breaded or floured, fried, lean only eaten",271,25,16.26,11.21
22101400,"Pork chop, battered, fried, NS as to fat eaten",281,22.6,12.77,14.99
22101410,"Pork chop, battered, fried, lean and fat eaten",281,22.6,12.77,14.99
22101420,"Pork chop, battered, fried, lean only eaten",246,23.67,12.83,10.58
22101500,"Pork chop, stewed, NS as to fat eaten",211,27.69,0,10.5
22101510,"Pork chop, stewed, lean and fat eaten",211,27.69,0,10.5
22101520,"Pork chop, stewed, lean only eaten",164,29.13,0.09,4.55
22107000,"Pork chop, smoked or cured, cooked, NS as to fat eaten",280,20.43,0,21.35
22107010,"Pork chop, smoked or cured, cooked, lean and fat eaten",280,20.43,0,21.35
22107020,"Pork chop, smoked or cured, cooked, lean only eaten",170,24.94,0,7.04
22201000,"Pork steak or cutlet, NS as to cooking method, NS as to fat eaten",239,22.96,0.06,15.86
22201010,"Pork steak or cutlet, NS as to cooking method, lean and fat eaten",239,22.96,0.06,15.86
22201020,"Pork steak or cutlet, NS as to cooking method, lean only eaten",171,24.61,0.07,7.42
22201050,"Pork steak or cutlet, battered, fried, NS as to fat eaten",271,19.87,7.61,17.54
22201060,"Pork steak or cutlet, battered, fried, lean and fat eaten",271,19.87,7.61,17.54
22201070,"Pork steak or cutlet, battered, fried, lean only eaten",216,21.19,7.62,10.78
22201100,"Pork steak or cutlet, broiled or baked, NS as to fat eaten",239,22.96,0.06,15.86
22201110,"Pork steak or cutlet, broiled or baked, lean and fat eaten",239,22.96,0.06,15.86
22201120,"Pork steak or cutlet, broiled or baked, lean only eaten",171,24.61,0.07,7.42
22201200,"Pork steak or cutlet, fried, NS as to fat eaten",239,22.96,0.06,15.86
22201210,"Pork steak or cutlet, fried, lean and fat eaten",239,22.96,0.06,15.86
22201220,"Pork steak or cutlet, fried, lean only eaten",171,24.61,0.07,7.42
22201300,"Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten",264,22.3,9.15,14.79
22201310,"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten",264,22.3,9.15,14.79
22201320,"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten",202,23.8,9.15,7.12
22201400,"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten",306,21.07,16.6,16.72
22201410,"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten",325,20.61,16.24,19.26
22201420,"Pork steak or cutlet, breaded or floured, fried, lean only eaten",276,21.78,16.24,13.25
22210300,"Pork, tenderloin, cooked, NS as to cooking method",154,26.9,0,4.33
22210310,"Pork, tenderloin, breaded, fried",296,21.95,15.18,15.81
22210350,"Pork, tenderloin, braised",142,27.24,0,2.8
22210400,"Pork, tenderloin, baked",154,26.9,0,4.33
22210450,"Pork, tenderloin, battered, fried",193,23.29,7.56,7.08
22300120,"Ham, fried, NS as to fat eaten",188,19.13,1.27,11.53
22300130,"Ham, fried, lean and fat eaten",188,19.13,1.27,11.53
22300140,"Ham, fried, lean only eaten",178,20.52,1,9.9
22300150,"Ham, breaded or floured, fried, NS as to fat eaten",200,18.34,7.34,10.53
22300160,"Ham, breaded or floured, fried, lean and fat eaten",200,18.34,7.34,10.53
22300170,"Ham, breaded or floured, fried, lean only eaten",192,19.63,6.78,9.22
22301000,"Ham, fresh, cooked, NS as to fat eaten",271,26.61,0,17.46
22301110,"Ham, fresh, cooked, lean and fat eaten",271,26.61,0,17.46
22301120,"Ham, fresh, cooked, lean only eaten",209,29.16,0,9.36
22311000,"Ham, smoked or cured, cooked, NS as to fat eaten",149,20.09,1.19,6.7
22311010,"Ham, smoked or cured, cooked, lean and fat eaten",149,20.09,1.19,6.7
22311020,"Ham, smoked or cured, cooked, lean only eaten",139,21.64,1.05,4.95
22311450,"Ham, prosciutto",195,27.8,0.3,8.32
22311500,"Ham, smoked or cured, canned, NS as to fat eaten",132,17.46,1,6.17
22311510,"Ham, smoked or cured, canned, lean and fat eaten",132,17.46,1,6.17
22311520,"Ham, smoked or cured, canned, lean only eaten",117,17.8,1,4.31
22321110,"Ham, smoked or cured, ground patty",325,18.53,1.42,27.25
22400100,"Pork roast, NS as to cut, cooked, NS as to fat eaten",246,26.86,0,14.53
22400110,"Pork roast, NS as to cut, cooked, lean and fat eaten",246,26.86,0,14.53
22400120,"Pork roast, NS as to cut, cooked, lean only eaten",207,28.38,0,9.55
22401000,"Pork roast, loin, cooked, NS as to fat eaten",246,26.86,0,14.53
22401010,"Pork roast, loin, cooked, lean and fat eaten",246,26.86,0,14.53
22401020,"Pork roast, loin, cooked, lean only eaten",207,28.38,0,9.55
22402510,"Fried pork chunks, Puerto Rican style",257,35.33,0.86,11.35
22411000,"Pork roast, shoulder, cooked, NS as to fat eaten",290,23.09,0,21.21
22411010,"Pork roast, shoulder, cooked, lean and fat eaten",290,23.09,0,21.21
22411020,"Pork roast, shoulder, cooked, lean only eaten",228,25.12,0,13.43
22421000,"Pork roast, smoked or cured, cooked, NS as to fat eaten",165,21.97,0.5,7.66
22421010,"Pork roast, smoked or cured, cooked, lean and fat eaten",165,21.97,0.5,7.66
22421020,"Pork roast, smoked or cured, cooked, lean only eaten",157,25.05,0,5.5
22431000,"Pork roll, cured, fried",329,13.07,4.49,28.39
22501010,"Canadian bacon, cooked",146,28.31,1.8,2.78
22600100,"Bacon, NS as to type of meat, cooked",468,33.92,1.7,35.09
22600110,"Bacon, NS as to type of meat, reduced sodium, cooked",253,13.33,4.8,20
22600200,"Pork bacon, NS as to fresh, smoked or cured, cooked",468,33.92,1.7,35.09
22600210,"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",541,37.04,1.43,41.78
22601000,"Pork bacon, smoked or cured, cooked",468,33.92,1.7,35.09
22601040,"Bacon or side pork, fresh, cooked",468,33.92,1.7,35.09
22602010,"Pork bacon, smoked or cured, reduced sodium, cooked",541,37.04,1.43,41.78
22621000,"Salt pork, cooked",750,2.68,0,81.93
22621100,"Fat back, cooked",750,2.68,0,81.93
22701000,"Pork, spareribs, cooked, NS as to fat eaten",394,28.82,0,30.05
22701010,"Pork, spareribs, cooked, lean and fat eaten",394,28.82,0,30.05
22701020,"Pork, spareribs, cooked, lean only eaten",206,28.79,0,9.24
22701030,"Pork, spareribs, barbecued, with sauce, NS as to fat eaten",343,21.45,12.74,22.29
22701040,"Pork, spareribs, barbecued, with sauce, lean and fat eaten",343,21.45,12.74,22.29
22701050,"Pork, spareribs, barbecued, with sauce, lean only eaten",224,19.63,12.74,9.82
22704010,"Pork, cracklings, cooked",468,33.92,1.7,35.09
22705010,"Pork ears, tail, head, snout, miscellaneous parts, cooked",236,26.14,0,13.77
22706010,"Pork, neck bones, cooked",182,25.85,0,7.96
22707010,"Pork, pig's feet, cooked",236,21.76,0,15.92
22707020,"Pork, pig's feet, pickled",140,11.63,0.01,10.02
22708010,"Pork, pig's hocks, cooked",233,24.67,0,14.21
22709010,Pork skin rinds,544,61.3,0,31.3
22709110,"Pork skin, boiled",621,7,0,65.55
22810010,"Ham, baby food, strained",97,11.3,3.7,3.8
22820000,"Meat stick, baby food",184,13.4,1.1,14.6
23000100,"Lamb, NS as to cut, cooked",292,24.32,0,20.77
23101000,"Lamb chop, NS as to cut, cooked, NS as to fat eaten",313,24.96,0,22.89
23101010,"Lamb chop, NS as to cut, cooked, lean and fat eaten",313,24.96,0,22.89
23101020,"Lamb chop, NS as to cut, cooked, lean only eaten",214,29.74,0,9.65
23104000,"Lamb, loin chop, cooked, NS as to fat eaten",313,24.96,0,22.89
23104010,"Lamb, loin chop, cooked, lean and fat eaten",313,24.96,0,22.89
23104020,"Lamb, loin chop, cooked, lean only eaten",214,29.74,0,9.65
23107000,"Lamb, shoulder chop, cooked, NS as to fat eaten",274,22.32,0,19.8
23107010,"Lamb, shoulder chop, cooked, lean and fat eaten",274,22.32,0,19.8
23107020,"Lamb, shoulder chop, cooked, lean only eaten",202,24.73,0,10.68
23110000,"Lamb, ribs, cooked, lean only eaten",233,27.51,0,12.84
23110010,"Lamb, ribs, cooked, NS as to fat eaten",358,21.95,0,29.34
23110050,"Lamb, ribs, cooked, lean and fat eaten",358,21.95,0,29.34
23111010,"Lamb hocks, cooked",241,28.13,0,13.35
23120100,"Lamb, roast, cooked, NS as to fat eaten",265,23.83,0,18.07
23120110,"Lamb, roast, cooked, lean and fat eaten",265,23.83,0,18.07
23120120,"Lamb, roast, cooked, lean only eaten",196,26.4,0,9.18
23132000,"Lamb, ground or patty, cooked",281,24.54,0,19.49
23150100,"Goat, boiled",142,26.87,0,3
23150200,"Goat, fried",153,26.46,0,4.52
23150250,"Goat, baked",142,26.87,0,3
23150270,"Goat head, cooked",144,21.82,0.48,5.46
23150300,"Goat ribs, cooked",142,26.87,0,3
23200100,"Veal, NS as to cut, cooked, NS as to fat eaten",229,29.85,0,11.3
23200110,"Veal, NS as to cut, cooked, lean and fat eaten",229,29.85,0,11.3
23200120,"Veal, NS as to cut, cooked, lean only eaten",194,31.63,0,6.52
23201010,"Veal chop, NS as to cooking method, NS as to fat eaten",215,24.59,0,12.22
23201020,"Veal chop, NS as to cooking method, lean and fat eaten",215,24.59,0,12.22
23201030,"Veal chop, NS as to cooking method, lean only eaten",174,26.1,0,6.88
23203010,"Veal chop, fried, NS as to fat eaten",238,27.29,9.91,9.18
23203020,"Veal chop, fried, lean and fat eaten",238,27.29,9.91,9.18
23203030,"Veal chop, fried, lean only eaten",216,28.41,9.84,6.27
23203100,"Veal chop, broiled, NS as to fat eaten",215,24.59,0,12.22
23203110,"Veal chop, broiled, lean and fat eaten",215,24.59,0,12.22
23203120,"Veal chop, broiled, lean only eaten",174,26.1,0,6.88
23204010,"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten",209,33.67,0,7.28
23204020,"Veal cutlet or steak, NS as to cooking method, lean and fat eaten",209,35.86,0,6.28
23204030,"Veal cutlet or steak, NS as to cooking method, lean only eaten",181,32.89,0,4.58
23204200,"Veal cutlet or steak, broiled, NS as to fat eaten",159,27.47,0,4.61
23204210,"Veal cutlet or steak, broiled, lean and fat eaten",159,27.47,0,4.61
23204220,"Veal cutlet or steak, broiled, lean only eaten",181,32.89,0,4.58
23205010,"Veal cutlet or steak, fried, NS as to fat eaten",238,27.29,9.91,9.18
23205020,"Veal cutlet or steak, fried, lean and fat eaten",238,27.29,9.91,9.18
23205030,"Veal cutlet or steak, fried, lean only eaten",181,32.89,0,4.58
23210010,"Veal, roasted, NS as to fat eaten",229,29.85,0,11.3
23210020,"Veal, roasted, lean and fat eaten",229,29.85,0,11.3
23210030,"Veal, roasted, lean only eaten",174,26.1,0,6.88
23220010,"Veal, ground or patty, cooked",171,24.18,0,7.5
23220020,"Mock chicken legs, cooked",234,20.75,5.27,13.79
23220030,"Veal patty, breaded, cooked",283,22.23,8.63,17.11
23310000,"Rabbit, NS as to domestic or wild, cooked",205,30.25,0,8.38
23311100,"Rabbit, domestic, NS as to cooking method",205,30.25,0,8.38
23311120,"Rabbit, NS as to domestic or wild, breaded, fried",248,27.65,5.06,12.16
23311200,"Rabbit, wild, cooked",172,32.88,0,3.5
23321000,"Venison/deer, NFS",190,36.08,0,3.93
23321050,"Venison/deer, cured",187,35.11,0,4.08
23321100,"Venison/deer, roasted",190,36.08,0,3.93
23321200,"Venison/deer steak, cooked, NS as to cooking method",150,29.8,0,2.61
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",225,24.85,12.36,7.79
23321900,Venison/deer jerky,396,32.2,14.72,22.41
23322100,Deer sausage,299,10.91,4.29,26.13
23322300,"Deer chop, cooked",193,28.06,0,8.28
23322350,"Venison/deer ribs, cooked",190,36.08,0,3.93
23322400,"Venison/deer, stewed",190,36.08,0,3.93
23323100,"Moose, cooked",133,29.15,0,0.97
23323500,"Bear, cooked",258,32.28,0,13.33
23324100,"Caribou, cooked",166,29.64,0,4.4
23326100,"Bison, cooked",142,28.32,0,2.41
23331100,"Ground hog, cooked",234,25.96,0,13.6
23332100,"Opossum, cooked",220,30.07,0,10.16
23333100,"Squirrel, cooked",172,30.64,0,4.67
23334100,"Beaver, cooked",211,34.7,0,6.93
23335100,"Raccoon, cooked",254,29.08,0,14.44
23340100,"Armadillo, cooked",159,28.18,0,4.36
23345100,"Wild pig, smoked",157,27.8,0,4.3
23350100,"Ostrich, cooked",174,25.93,0,7.01
23410010,"Lamb, baby food, strained",94,14.07,0.85,3.41
23420010,"Veal, baby food, strained",81,13.12,1.51,2.45
24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten",164,26.79,0,6.36
24100010,"Chicken, NS as to part and cooking method, skin eaten",196,25.07,0.1,10.65
24100020,"Chicken, NS as to part and cooking method, skin not eaten",164,26.79,0,6.36
24102000,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",165,27.32,0,5.32
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",203,24.7,0,10.8
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",165,27.32,0,5.32
24102050,"Chicken, NS as to part, rotisserie, NS as to skin eaten",164,26.79,0,6.36
24102060,"Chicken, NS as to part, rotisserie, skin eaten",196,25.07,0.1,10.65
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",164,26.79,0,6.36
24103000,"Chicken, NS as to part, stewed, NS as to skin eaten",158,26.03,0,5.38
24103010,"Chicken, NS as to part, stewed, skin eaten",196,23.58,0,10.86
24103020,"Chicken, NS as to part, stewed, skin not eaten",158,26.03,0,5.38
24103050,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",179,26.74,0,7.2
24103055,"Chicken, NS as to part, grilled without sauce, skin eaten",216,24.19,0,12.57
24103060,"Chicken, NS as to part, grilled without sauce, skin not eaten",179,26.74,0,7.2
24103070,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",180,21.98,7.31,6.36
24103075,"Chicken, NS as to part, grilled with sauce, skin eaten",211,19.89,7.31,10.74
24103080,"Chicken, NS as to part, grilled with sauce, skin not eaten",180,21.98,7.31,6.36
24104049,"Chicken, NS as to part, sauteed, skin eaten",216,24.19,0,12.57
24104051,"Chicken, NS as to part, sauteed, skin not eaten",179,26.74,0,7.2
24107070,"Chicken, NS as to part, fried, coated, skin / coating eaten",251,21.75,7.14,15.02
24107071,"Chicken, NS as to part, fried, coated, skin / coating not eaten",164,26.18,0.07,6.58
24107080,"Chicken, NS as to part, baked, coated, skin / coating eaten",251,21.75,7.14,15.02
24107081,"Chicken, NS as to part, baked, coated, skin / coating not eaten",164,26.18,0.07,6.58
24120110,"Chicken breast, NS as to cooking method, skin eaten",175,26.37,0.09,7.67
24120120,"Chicken breast, NS as to cooking method, skin not eaten",144,28.04,0,3.57
24122130,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",192,26.25,0,8.8
24122131,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",161,30.22,0,3.52
24122140,"Chicken breast, baked or broiled, skin eaten, from pre-cooked",175,26.37,0.09,7.67
24122141,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",144,28.04,0,3.57
24122150,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",205,25.67,0,10.6
24122151,"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant",175,29.56,0,5.44
24122160,"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw",204,25.32,0.31,10.45
24122161,"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw",174,29.13,0.31,5.38
24122170,"Chicken breast, rotisserie, skin eaten",175,26.37,0.09,7.67
24122171,"Chicken breast, rotisserie, skin not eaten",144,28.04,0,3.57
24123110,"Chicken breast, stewed, skin eaten",181,24.7,0,8.28
24123120,"Chicken breast, stewed, skin not eaten",149,27.96,0,3.26
24123300,"Chicken breast, grilled without sauce, skin eaten",206,25.72,0,10.62
24123301,"Chicken breast, grilled without sauce, skin not eaten",176,29.62,0,5.45
24123310,"Chicken breast, grilled with sauce, skin eaten",202,21.15,7.34,9.15
24123311,"Chicken breast, grilled with sauce, skin not eaten",178,24.33,7.34,4.93
24124200,"Chicken breast, sauteed, skin eaten",206,25.72,0,10.62
24124201,"Chicken breast, sauteed, skin not eaten",176,29.62,0,5.45
24127200,"Chicken breast, fried, coated, skin / coating eaten, from raw",242,21.42,5.95,14.07
24127201,"Chicken breast, fried, coated, skin / coating not eaten, from raw",176,29.62,0,5.45
24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",218,24.52,5.95,9.95
24127210,"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",249,20.54,7.13,14.74
24127211,"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked",176,29.62,0,5.45
24127220,"Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant",271,19.29,10.65,16.91
24127221,"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant",211,22.73,5.95,10.75
24127500,"Chicken breast, baked, coated, skin / coating eaten",207,23.73,3.96,9.88
24127501,"Chicken breast, baked, coated, skin / coating not eaten",176,29.62,0,5.45
24130210,"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",218,23.77,0.12,13.63
24130220,"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten",185,25.54,0,9.15
24132230,"Chicken leg, drumstick and thigh, baked or broiled, skin eaten",214,23.16,0,12.81
24132231,"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",168,24.41,0,7.13
24132240,"Chicken leg, drumstick and thigh, rotisserie, skin eaten",218,23.77,0.12,13.63
24132241,"Chicken leg, drumstick and thigh, rotisserie, skin not eaten",185,25.54,0,9.15
24133210,"Chicken leg, drumstick and thigh, stewed, skin eaten",211,22.45,0,13.44
24133220,"Chicken leg, drumstick and thigh, stewed, skin not eaten",167,24.1,0,7.5
24134100,"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten",227,22.65,0,14.52
24134101,"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",182,23.87,0,8.96
24134150,"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten",219,18.64,7.28,12.32
24134151,"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten",183,19.63,7.28,7.79
24134300,"Chicken leg, drumstick and thigh, sauteed, skin eaten",227,22.65,0,14.52
24134301,"Chicken leg, drumstick and thigh, sauteed, skin not eaten",182,23.87,0,8.96
24137300,"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten",259,19,5.91,17.16
24137301,"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten",183,23.92,0,8.98
24137310,"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten",226,20.96,3.93,13.38
24137311,"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten",182,23.87,0,8.96
24140210,"Chicken drumstick, NS as to cooking method, skin eaten",206,25.65,0.12,11.46
24140220,"Chicken drumstick, NS as to cooking method, skin not eaten",172,27.71,0,6.76
24142300,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",190,23.21,0,10.09
24142301,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",154,24.1,0,5.67
24142310,"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked",206,25.65,0.12,11.46
24142311,"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked",172,27.71,0,6.76
24142320,"Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant",203,22.66,0,11.83
24142321,"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant",168,23.52,0,7.51
24142400,"Chicken drumstick, rotisserie, skin eaten",206,25.65,0.12,11.46
24142401,"Chicken drumstick, rotisserie, skin not eaten",172,27.71,0,6.76
24142500,"Chicken drumstick, grilled without sauce, skin eaten",203,22.7,0,11.85
24142501,"Chicken drumstick, grilled without sauce, skin not eaten",168,23.57,0,7.53
24142510,"Chicken drumstick, grilled with sauce, skin eaten",200,18.68,7.28,10.15
24142511,"Chicken drumstick, grilled with sauce, skin not eaten",171,19.39,7.28,6.62
24143210,"Chicken drumstick, stewed, skin eaten",186,22.54,0,10.64
24143220,"Chicken drumstick, stewed, skin not eaten",155,23.71,0,5.9
24144300,"Chicken drumstick, sauteed, skin eaten",203,22.7,0,11.85
24144301,"Chicken drumstick, sauteed, skin not eaten",168,23.57,0,7.53
24147300,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",240,19.05,5.91,15.04
24147301,"Chicken drumstick, fried, coated, skin / coating not eaten, from raw",169,23.61,0,7.54
24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",211,19.7,5.9,11.56
24147310,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",246,18.25,7.07,15.62
24147311,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",168,23.57,0,7.53
24147320,"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant",288,17.73,12.07,18.72
24147321,"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant",212,21.78,6.05,11.18
24147400,"Chicken drumstick, baked, coated, skin / coating eaten",204,21.01,3.93,10.98
24147401,"Chicken drumstick, baked, coated, skin / coating not eaten",168,23.57,0,7.53
24150210,"Chicken thigh, NS as to cooking method, skin eaten",226,22.51,0.12,15.08
24150220,"Chicken thigh, NS as to cooking method, skin not eaten",193,24.09,0,10.74
24152230,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",231,23.12,0,14.62
24152231,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",178,24.61,0,8.1
24152240,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",226,22.51,0.12,15.08
24152241,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",193,24.09,0,10.74
24152250,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",243,22.57,0,16.25
24152251,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",191,24.02,0,9.89
24152300,"Chicken thigh, rotisserie, skin eaten",226,22.51,0.12,15.08
24152301,"Chicken thigh, rotisserie, skin not eaten",193,24.09,0,10.74
24153210,"Chicken thigh, stewed, skin eaten",227,22.39,0,15.31
24153220,"Chicken thigh, stewed, skin not eaten",175,24.36,0,8.56
24154010,"Chicken thigh, grilled without sauce, skin eaten",243,22.61,0,16.29
24154011,"Chicken thigh, grilled without sauce, skin not eaten",192,24.07,0,9.91
24154020,"Chicken thigh, grilled with sauce, skin eaten",232,18.61,7.28,13.77
24154021,"Chicken thigh, grilled with sauce, skin not eaten",190,19.8,7.28,8.56
24154300,"Chicken thigh, sauteed, skin eaten",243,22.61,0,16.29
24154301,"Chicken thigh, sauteed, skin not eaten",192,24.07,0,9.91
24157300,"Chicken thigh, fried, coated, skin / coating eaten, from raw",271,18.98,5.91,18.57
24157301,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",192,24.12,0,9.93
24157302,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",230,20.1,5.9,13.46
24157310,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",276,18.19,7.07,18.96
24157311,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",192,24.07,0,9.91
24157320,"Chicken thigh, fried, coated, skin / coating eaten, from fast food",293,16.22,12.94,19.64
24157321,"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",217,19.38,6.24,12.76
24157330,"Chicken thigh, fried, coated, skin / coating eaten, from restaurant",293,16.22,12.94,19.64
24157331,"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant",217,19.38,6.24,12.76
24157400,"Chicken thigh, baked, coated, skin / coating eaten",240,20.93,3.93,14.96
24157401,"Chicken thigh, baked, coated, skin / coating not eaten",192,24.07,0,9.91
24160110,"Chicken wing, NS as to cooking method",257,23.42,0.6,18.04
24162130,"Chicken wing, baked, broiled, or roasted, from raw",252,23.6,0,16.74
24162140,"Chicken wing, baked or broiled, from pre-cooked",257,23.42,0.6,18.04
24162150,"Chicken wing, baked or broiled, from fast food / restaurant",264,23.08,0,18.35
24162200,"Chicken wing, rotisserie",257,23.42,0.6,18.04
24163110,"Chicken wing, stewed",247,22.6,0,16.69
24164000,"Chicken wing, grilled without sauce",265,23.13,0,18.39
24164010,"Chicken wing, grilled with sauce",250,19.03,7.28,15.49
24164200,"Chicken wing, sauteed",265,23.13,0,18.39
24167200,"Chicken wing, fried, coated, from raw",288,19.35,5.9,20.2
24167210,"Chicken wing, fried, coated, from pre-cooked",292,18.58,7.07,20.55
24167220,"Chicken wing, fried, coated, from fast food",322,17.74,14.93,21.24
